"id","document_id","type","position","name"
"sale_id","sales_plan","number",1,"{\"en\":\"Deal\",\"ru\":\"Сделка\"}"
"subsidiary_company","sales_plan","text",2,"{\"en\":\"Subsidiary company\",\"ru\":\"Дочерняя компания\"}"
"manufacturer","sales_plan","text",3,"{\"en\":\"Manufacturer\",\"ru\":\"Производитель\"}"
"manufacturer_type","sales_plan","text",4,"{\"en\":\"Origin\",\"ru\":\"Происхождение\"}"
"product","sales_plan","text",5,"{\"en\":\"Product\",\"ru\":\"Продукт\"}"
"product_category_1","sales_plan","text",6,"{\"en\":\"Product category 1\",\"ru\":\"Категория продукта 1\"}"
"product_category_2","sales_plan","text",7,"{\"en\":\"Product category 2\",\"ru\":\" Категория продукта 2\"}"
"product_category_3","sales_plan","text",8,"{\"en\":\"Product category 3\",\"ru\":\" Категория продукта 3\"}"
"product_category_4","sales_plan","text",9,"{\"en\":\"Product category 4\",\"ru\":\" Категория продукта 4\"}"
"ifrs_product_group","sales_plan","text",10,"{\"en\":\"Product (IFRS)\",\"ru\":\"Продукт (МСФО)\"}"
"buyer","sales_plan","text",11,"{\"en\":\"Customer\",\"ru\":\"Покупатель\"}"
"country","sales_plan","text",12,"{\"en\":\"Destination country\",\"ru\":\"Страна назначения\"}"
"country_iso_code","sales_plan","text",13,"{\"en\":\"Destination country (ISO)\",\"ru\":\" Страна назначения (ISO)\"}"
"market","sales_plan","text",14,"{\"en\":\"Market\",\"ru\":\"Рынок\"}"
"region","sales_plan","text",15,"{\"en\":\"Region\",\"ru\":\"Регион\"}"
"basis","sales_plan","text",16,"{\"en\":\"Basis\",\"ru\":\"Базис\"}"
"basis_point","sales_plan","text",17,"{\"en\":\"Delivery point\",\"ru\":\"Место поставки покупателю\"}"
"package","sales_plan","text",18,"{\"en\":\"Package\",\"ru\":\"Упаковка\"}"
"uom","sales_plan","text",19,"{\"en\":\"Unit of measure\",\"ru\":\"Единица измерения\"}"
"quantity","sales_plan","number",20,"{\"en\":\"Quantity\",\"ru\":\"Количество\"}"
"currency","sales_plan","text",21,"{\"en\":\"Currency\",\"ru\":\"Валюта\"}"
"price","sales_plan","number",22,"{\"en\":\"Price\",\"ru\":\"Цена\"}"
"amount","sales_plan","number",23,"{\"en\":\"Amount\",\"ru\":\"Сумма\"}"
"price_fca_usd","sales_plan","number",24,"{\"en\":\"FCA Price (USD)\",\"ru\":\"FCA Цена (USD)\"}"
"amount_fca_usd","sales_plan","number",25,"{\"en\":\"Amount (FCA in USD)\",\"ru\":\"Сумма (FCA в USD)\"}"
"trader_company","sales_plan","text",26,"{\"en\":\"Trader\",\"ru\":\"Трейдер\"}"
"basis_trader","sales_plan","text",27,"{\"en\":\"Trader basis\",\"ru\":\"Базис поставки трейдеру\"}"
"basis_point_trader","sales_plan","text",28,"{\"en\":\"Trader delivery point\",\"ru\":\"Место поставки трейдеру\"}"
"costs_trader_usd","sales_plan","number",29,"{\"en\":\"Trader costs (USD)\",\"ru\":\"Расходы трейдера (USD)\"}"
"trader","sales_plan","text",30,"{\"en\":\"On behalf\",\"ru\":\"От имени\"}"
"conclusion_date","sales_plan","date",31,"{\"en\":\"Conclusion date\",\"ru\":\"Дата сделки\"}"
"costs_manufacturer_usd","sales_plan","number",32,"{\"en\":\"Manufacturer costs (USD)\",\"ru\":\"Расходы производителя (USD)\"}"
"author","sales_plan","text",33,"{\"en\":\"Author\",\"ru\":\"Автор\"}"
"status","sales_plan","text",34,"{\"en\":\"Status\",\"ru\":\"Статус\"}"
"cost_packing_usd","sales_plan","number",35,"{\"en\":\"Package costs (USD)\",\"ru\":\"Расходы на упаковку (USD)\"}"
"cost_shipment_usd","sales_plan","number",36,"{\"en\":\"Total shipment costs (USD)\",\"ru\":\"Общие затраты на доставку (USD)\"}"
"cost_railways_usd","sales_plan","number",37,"{\"en\":\"Railway costs (USD)\",\"ru\":\"Ж.д расходы (USD)\"}"
"cost_rent_trd_usd","sales_plan","number",38,"{\"en\":\"Rent costs (USD)\",\"ru\":\"Аренда подв.состава(USD)\"}"
"cost_port_usd","sales_plan","number",39,"{\"en\":\"Port costs (USD)\",\"ru\":\"Расходы в порту (USD)\"}"
"cost_freight_usd","sales_plan","number",40,"{\"en\":\"Freight (USD)\",\"ru\":\"Фрахт (USD)\"}"
"loading_port","sales_plan","text",41,"{\"en\":\"Loading port\",\"ru\":\"Порт погрузки\"}"
"creation_date","sales_plan","datetime",42,"{\"en\":\"Creation date\",\"ru\":\"Дата создания\"} "
"last_updated","sales_plan","datetime",43,"{\"en\":\"Last updated at\",\"ru\":\"Дата последнего изменения\"} "
"price_usd","sales_plan","number",44,"{\"en\":\"Price (USD)\",\"ru\":\"Цена (USD)\"}"
"amount_usd","sales_plan","number",45,"{\"en\":\"Amount (USD)\",\"ru\":\"Сумма (USD)\"}"
"department","sales_plan","text",46,"{\"en\":\"Department\",\"ru\":\"Подразделение\"}"
"sale_url","sales_plan","url",47,"{\"en\":\"Go to Organiser\",\"ru\":\"Перейти к сделке\"}"
"date_start","sales_plan","date",48,"{\"en\":\"Start date of delivery\",\"ru\":\"Дата начала поставки\"} "
"date_end","sales_plan","date",49,"{\"en\":\"End date of delivery\",\"ru\":\"Дата окончания поставки\"} "
"container","sales_plan","text",50,"{\"en\":\"Container\",\"ru\":\"Контейнер\"}"
"forecast","sales_plan","text",51,"{\"en\":\"Forecast\",\"ru\":\"Прогноз\"}"
"price_indicative_usd","sales_plan","number",52,"{\"en\":\"Indicative price (USD)\",\"ru\":\"Индикативная цена (USD)\"}"
"price_indicative_fca_usd","sales_plan","number",53,"{\"en\":\"Indicative price FCA (USD)\",\"ru\":\"Индикативная цена FCA (USD)\"}"
"date_indicative","sales_plan","date",54,"{\"en\":\"Date indicative price\",\"ru\":\"Дата индикативной цены\"} "
"option","sales_plan","text",55,"{\"en\":\"Option\",\"ru\":\"Опцион\"}"
"diff_price","sales_plan","number",56,"{\"en\":\"Diff price\",\"ru\":\"Отклонение в цене)\"}"
"diff_amount","sales_plan","number",57,"{\"en\":\"Diff amount\",\"ru\":\"Отклонение по сумме)\"}"
